company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
BOSCO'S,2606 SPENARD RD,,ANCHORAGE,AK,995,99503,2309,3,59479903,,59470105,NOVELTIES,59429905,COMIC BOOKS,,
N J CARDS & COMICS,3020 N LAZY EIGHT CT STE 16,,WASILLA,AK,996,99654,4369,3,53119901,"DEPARTMENT STORES, DISCOUNT",59429905,COMIC BOOKS,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,
A NO 1 CARDS COMICS & CLLCTBLS,3101 PENLAND PKWY STE F6,,ANCHORAGE,AK,995,99508,1910,4,59429905,COMIC BOOKS,,,,,,
ANDERSON LAW GROUP,645 G ST # 100570 570,,ANCHORAGE,AK,995,99501,3443,4,81119901,"GENERAL PRACTICE ATTORNEY, LAWYER",59429905,COMIC BOOKS,73229900,,,
BOSCO'S COMICS CARDS & GAMES,800 E DIMOND BLVD STE 162,,ANCHORAGE,AK,995,99515,2054,3,59429905,COMIC BOOKS,57350200,"RECORDS, AUDIO DISCS, AND TAPES",59420000,BOOK STORES,59990000,"MISCELLANEOUS RETAIL STORES, NEC"
WIZARDS COMICS,101 LINCOLN ST,,FLORENCE,AL,356,35630,1753,3,59470104,GIFT SHOP,59429905,COMIC BOOKS,,,,
VISIONS CARDS & GAMES,107 N BURBANK DR,,MONTGOMERY,AL,361,36117,2837,3,59450000,"HOBBY, TOY, AND GAME SHOPS",59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",59429905,COMIC BOOKS,,
CAPTAINS COMICS,116 CAMBRIDGE TRL,,ALABASTER,AL,350,35007,5170,3,59429905,COMIC BOOKS,59999900,,59450200,TOYS AND GAMES,,
KINGDOM COMICS INC,1425 MONTGOMERY HWY STE 119,,VESTAVIA,AL,352,35216,3685,3,59429905,COMIC BOOKS,,,,,,
QUALITY COMIX,153 W MAIN ST,,PRATTVILLE,AL,360,36067,3033,3,59429905,COMIC BOOKS,,,,,,
